,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
541,30064,RUTW,2021,29.76838,-93.16361,0,0,none,,79,79,0,TRUE,,60,,0,,N,N,,,,4,F,F,F,F,,,F,F,9,9,4,4,4,69,69,LETE,1,0,0,FALSE,TRUE,FALSE,61,65,65,69,69,,,3,8,0,2E,0E,61|65|69,2E|2E|0E,0|4|4,,,
542,30065,RUTW,2021,29.76958,-93.1685,0,0,none,,,,,TRUE,,,,0,,N,N,,,,5,U,U,U,U,,,U,U,,,5,5,5,74,74,LETE,,0,0,FALSE,TRUE,TRUE,61,69,69,74,74,,,4,13,,BON,0E,61|65|69|74,2E|BON|BON|0E,0|4|4|5,,,
543,30066,RUTE,2021,29.75922,-93.12305,0,0,fenced,,65,72,7,FALSE,,53,7,0,,N,N,,,26,3,H,H,H,H,,,H,H,19,26,3,3,0,72,72,LETE,0,1,0,TRUE,TRUE,FALSE,61,72,72,72,72,,,4,11,1,3E,"1E, 1C",61|65|69|72,"3E|3E|3E|1E, 1C",0|4|4|3,,,
544,30067,RUTE,2021,29.75822,-93.11711,0,0,fenced,,74,74,0,TRUE,,55,,0,,N,N,,,,5,U,U,U,U,,,U,U,22,22,5,5,5,77,77,LETE,0,0,0,FALSE,TRUE,TRUE,61,72,72,77,77,,,5,16,1,3E,0E,61|65|69|72|77,3E|3E|3E|3E|0E,0|4|4|3|5,,,
545,30068,RUTE,2021,29.75801,-93.11697,0,0,fenced,,65,65,0,TRUE,,46,0,0,,N,N,,,23,4,D,D,D,D,,,D,D,23,23,4,4,4,69,69,LETE,0,0,0,FALSE,TRUE,FALSE,61,65,65,69,69,,,3,8,1,2E,0E,61|65|69,2E|2E|0E,0|4|4,,,"lots of coyote tracks/activity in the area where the cup was. Was old enough to hatch, but I think coyotes got the chicks due to the track behavior"
546,30069,RUTE,2021,29.75776,-93.11603,0,0,fenced,,70,72,2,FALSE,,53,2,0,,N,N,,,21,3,H,H,H,H,,,H,H,19,21,3,3,0,72,72,LETE,0,1,0,TRUE,TRUE,FALSE,61,72,72,72,72,,,4,11,0,3E,"1C, 1E",61|65|69|72,"3E|BON|3E|1C, 1E",0|4|4|3,,,"6/21: 1 chick, 1d old, 1 egg left in area but displaced from scrape"
547,30070,RUTE,2021,29.75644,-93.1094,0,,fenced,,70,70,0,TRUE,,51,,0,,N,N,,,,4,U,U,U,U,,,U,U,14,14,4,4,4,65,65,LETE,1,0,0,FALSE,TRUE,TRUE,61,61,61,65,65,,,2,4,0,2E,0E,61|65,2E|0E,0|4,,,
548,30071,RUTW,2021,29.7727,-93.18276,60,60,none,,90,90,0,TRUE,,62,,0,,N,N,,,,4,F,F,F,F,,,F,F,7,7,4,4,4,69,69,WIPL,1,0,0,FALSE,TRUE,FALSE,65,65,65,69,69,,,2,4,0,3E,0E,65|69,3E|0E,0|4,,,unknown cause of failure :(
549,30072,RUTE,2021,29.75867,-93.11887,0,0,fenced,,78,78,0,TRUE,,59,0,0,,N,N,,,18,5,F,F,F,F,,,F,F,18,18,5,5,5,77,77,LETE,0,0,0,FALSE,TRUE,FALSE,65,72,72,77,77,,,4,12,0,3E,0E,65|69|72|77,3E|3E|3E|0E,0|4|3|5,,,
550,30073,RUTE,2021,29.7564,-93.10984,0,0,fenced,,78,78,0,TRUE,,59,,0,,N,N,,,,4,U,U,U,U,,,U,U,10,10,4,4,4,69,69,LETE,1,0,0,FALSE,TRUE,TRUE,65,65,65,69,69,,,2,4,0,2E,DNL,65|69,2E|DNL,0|4,,,DNL = did not locate. unknown nest fate because was unable to relocate nest
551,30074,HBRB,2021,29.76654,-93.38819,0,10,fenced,,81,83,2,FALSE,,64,1,3,,N,N,,,21,4,H,H,H,H,,,H,H,20,22,1,1,1,84,84,LETE,0,1,0,TRUE,TRUE,FALSE,68,83,83,83,83,,,6,16,0,hatch day,"1C, 1E",68|73|76|79|83|84,"3E|3E|3E|3E|hatch day|1C, 1E",0|5|3|3|4|1,,,parental behavior 7/3 during stewardship and on 7/6. Possibly a 2nd chick hatched a day or 2 prior?
552,30076,HBRB,2021,29.7653,-93.37608,0,0,none,,83,83,0,TRUE,,64,0,0,,N,N,,,9,5,W,W,W,W,,,W,W,9,9,5,5,5,73,73,LETE,1,0,0,FALSE,TRUE,FALSE,68,68,68,73,73,,,2,5,0,2E,0E,68|73,2E|0E,0|5,,,washout from heavy rain events
553,30079,HBRB,2021,29.76509,-93.37295,0,0,none,,77,77,0,TRUE,,58,0,0,,N,N,,,15,5,W,W,W,W,,,W,W,15,15,5,5,5,73,73,LETE,1,0,0,FALSE,TRUE,FALSE,68,68,68,73,73,,,2,5,0,2E,0E,68|73,2E|0E,0|5,,,washout from heavy rain events
554,30080,HBRB,2021,29.765,-93.37202,0,0,none,,84,84,0,TRUE,,65,0,0,,N,N,,,8,5,W,W,W,W,,,W,W,8,8,5,5,5,73,73,LETE,1,0,0,FALSE,TRUE,FALSE,68,68,68,73,73,,,2,5,0,2E,0E,68|73,2E|0E,0|5,,,washout from heavy rain events
555,30081,RUTW,2021,29.76923,-93.16721,0,0,none,,72,72,0,TRUE,,53,,0,,N,N,,,,5,U,U,U,U,,,U,U,21,21,5,5,5,74,74,LETE,0,0,0,FALSE,TRUE,TRUE,69,69,69,74,74,,,2,5,0,3E,0E,69|74,3E|0E,0|5,,,
556,30082,RUTW,2021,29.77058,-93.17419,0,0,none,,81,81,0,TRUE,,62,,0,,N,N,,,,9,U,U,U,U,,,U,U,24,24,9,9,9,86,86,LETE,0,0,0,FALSE,TRUE,TRUE,69,77,77,86,86,,,4,17,1,2E,0E,69|74|77|86,2E|2E|2E|0E,0|5|3|9,,,
557,30083,RUTW,2021,29.77165,-93.17779,0,0,none,,81,81,0,TRUE,,62,,0,,N,N,,,,5,S,S,S,S,,,S,S,12,12,5,5,5,74,74,LETE,1,0,0,FALSE,TRUE,FALSE,69,69,69,74,74,,,2,5,0,2E,0E,69|74,2E|0E,0|5,,,
558,30084,RUTW,2021,29.77201,-93.1814,1,1,none,,75,75,0,TRUE,,56,,0,,N,N,,,,5,S,S,S,S,,,S,S,18,18,5,5,5,74,74,LETE,0,0,0,FALSE,TRUE,FALSE,69,69,69,74,74,,,2,5,0,2E,0E,69|74,2E|0E,0|5,,,
559,30085,RUTE,2021,29.75788,-93.11641,0,0,fenced,,78,78,0,TRUE,,59,,0,,N,N,,,,4,U,U,U,U,,,U,U,22,22,4,4,4,81,81,LETE,0,0,0,FALSE,TRUE,TRUE,72,77,77,81,81,,,3,9,1,2E,0E,72|77|81,2E|2E|0E,0|5|4,,,could have hatched but no confirmed chick sighting
